work_id,instrument_id,has_instrumentation,divisions,time_signature_numerator,time_signature_denominator,current_measure,midi_number,note_name,note_name_without_octave,note_name_just_sharps,note_name_just_flats,duration,length_in_quarter_notes,is_rest,is_grace_note,starting_location,starting_location_of_current_measure,quarter_beats_per_minute,tie_status,verified,note_name_sequence,note_name_without_octave_sequence,note_name_and_duration_sequence,note_name_without_octave_and_duration_sequence,duration_sequence,melodic_sequence,melodic_and_duration_sequence,melodic_sequence_relative
101,1,1,480,4,4,1,58,A#/Bb4,A#/Bb,A#4,Bb4,480,1,0,0,0,0,120,Not applicable,1,A#/Bb4;G#/Ab4;C5;G4;F4;E4;F4;F4;G4;G4,A#/Bb;G#/Ab;C;G;F;E;F;F;G;G,A#/Bb4:1;G#/Ab4:2;C5:3/2;G4:1/2;F4;1;E4:1;F4:1/2;F4:1/2;G4:1/2;G4:1/2,A#/Bb:1;G#/Ab:2;C:3/2;G:1/2;F:1;E:1;F:1/2;F:1/2;G:1/2;G:1/2,1;2;3/2;1/2;1;1;1/2;1/2;1/2;1/2,58;56;60;55;53;52;53;53;55;55,58:1;56:2;60:3/2;55:1/2;53:1;52:1;53:1/2;53:1/2;55:1/2;55:1/2,-2;4;-5;-2;-1;1;0;2;0;1
101,1,1,480,4,4,1,56,G#/Ab4,G#/Ab,G#4,Ab4,960,2,0,0,480,0,120,Not applicable,1,G#/Ab4;C5;G4;F4;E4;F4;F4;G4;G4;G#/Ab4,G#/Ab;C;G;F;E;F;F;G;G;G#/Ab,G#/Ab4:2;C5:3/2;G4:1/2;F4:1;E4;1;F4:1/2;F4:1/2;G4:1/2;G4:1/2;G#/Ab4:1/2,G#/Ab:2;C:3/2;G:1/2;F:1;E:1;F:1/2;F:1/2;G:1/2;G:1/2;G#/Ab:1/2,2;3/2;1/2;1;1;1/2;1/2;1/2;1/2;1/2,56;60;55;53;52;53;53;55;55;56,56:2;60:3/2;55:1/2;53:1;52:1;53:1/2;53:1/2;55:1/2;55:1/2;56:1/2,4;-5;-2;-1;1;0;2;0;1;0
101,1,1,480,4,4,2,60,C5,C,C5,C5,720,3/2,0,0,1920,1920,120,Not applicable,1,C5;G4;F4;E4;F4;F4;G4;G4;G#/Ab4;G#/Ab4,C;G;F;E;F;F;G;G;G#/Ab;G#/Ab,C5:3/2;G4:1/2;F4:1;E4:1;F4;1/2;F4:1/2;G4:1/2;G4:1/2;G#/Ab4:1/2;G#/Ab4:1,C:3/2;G:1/2;F:1;E:1;F:1/2;F:1/2;G:1/2;G:1/2;G#/Ab:1/2;G#/Ab:1,3/2;1/2;1;1;1/2;1/2;1/2;1/2;1/2;1,60;55;53;52;53;53;55;55;56;56,60:3/2;55:1/2;53:1;52:1;53:1/2;53:1/2;55:1/2;55:1/2;56:1/2;56:1,-5;-2;-1;1;0;2;0;1;0;2
101,1,1,480,4,4,2,55,G4,G,G4,G4,240,1/2,0,0,2640,1920,120,Not applicable,1,G4;F4;E4;F4;F4;G4;G4;G#/Ab4;G#/Ab4;A#/Bb4,G;F;E;F;F;G;G;G#/Ab;G#/Ab;A#/Bb,G4:1/2;F4:1;E4:1;F4:1/2;F4;1/2;G4:1/2;G4:1/2;G#/Ab4:1/2;G#/Ab4:1;A#/Bb4:1/2,G:1/2;F:1;E:1;F:1/2;F:1/2;G:1/2;G:1/2;G#/Ab:1/2;G#/Ab:1;A#/Bb:1/2,1/2;1;1;1/2;1/2;1/2;1/2;1/2;1;1/2,55;53;52;53;53;55;55;56;56;58,55:1/2;53:1;52:1;53:1/2;53:1/2;55:1/2;55:1/2;56:1/2;56:1;58:1/2,-2;-1;1;0;2;0;1;0;2;2
101,1,1,480,4,4,2,53,F4,F,F4,F4,480,1,0,0,2880,1920,120,Not applicable,1,F4;E4;F4;F4;G4;G4;G#/Ab4;G#/Ab4;A#/Bb4;C5,F;E;F;F;G;G;G#/Ab;G#/Ab;A#/Bb;C,F4:1;E4:1;F4:1/2;F4:1/2;G4;1/2;G4:1/2;G#/Ab4:1/2;G#/Ab4:1;A#/Bb4:1/2;C5:1,F:1;E:1;F:1/2;F:1/2;G:1/2;G:1/2;G#/Ab:1/2;G#/Ab:1;A#/Bb:1/2;C:1,1;1;1/2;1/2;1/2;1/2;1/2;1;1/2;1,53;52;53;53;55;55;56;56;58;60,53:1;52:1;53:1/2;53:1/2;55:1/2;55:1/2;56:1/2;56:1;58:1/2;60:1,-1;1;0;2;0;1;0;2;2;1
101,1,1,480,4,4,2,52,E4,E,E4,E4,480,1,0,0,3360,1920,120,Not applicable,1,E4;F4;F4;G4;G4;G#/Ab4;G#/Ab4;A#/Bb4;C5;C#/Db5,E;F;F;G;G;G#/Ab;G#/Ab;A#/Bb;C;C#/Db,E4:1;F4:1/2;F4:1/2;G4:1/2;G4;1/2;G#/Ab4:1/2;G#/Ab4:1;A#/Bb4:1/2;C5:1;C#/Db5:1,E:1;F:1/2;F:1/2;G:1/2;G:1/2;G#/Ab:1/2;G#/Ab:1;A#/Bb:1/2;C:1;C#/Db:1,1;1/2;1/2;1/2;1/2;1/2;1;1/2;1;1,52;53;53;55;55;56;56;58;60;61,52:1;53:1/2;53:1/2;55:1/2;55:1/2;56:1/2;56:1;58:1/2;60:1;61:1,1;0;2;0;1;0;2;2;1;0
101,1,1,480,4,4,3,53,F4,F,F4,F4,240,1/2,0,0,4080,3840,120,Start tied note,1,F4;F4;G4;G4;G#/Ab4;G#/Ab4;A#/Bb4;C5;C#/Db5;C#/Db5,F;F;G;G;G#/Ab;G#/Ab;A#/Bb;C;C#/Db;C#/Db,F4:1/2;F4:1/2;G4:1/2;G4:1/2;G#/Ab4;1/2;G#/Ab4:1;A#/Bb4:1/2;C5:1;C#/Db5:1;C#/Db5:1,F:1/2;F:1/2;G:1/2;G:1/2;G#/Ab:1/2;G#/Ab:1;A#/Bb:1/2;C:1;C#/Db:1;C#/Db:1,1/2;1/2;1/2;1/2;1/2;1;1/2;1;1;1,53;53;55;55;56;56;58;60;61;61,53:1/2;53:1/2;55:1/2;55:1/2;56:1/2;56:1;58:1/2;60:1;61:1;61:1,0;2;0;1;0;2;2;1;0;-6
101,1,1,480,4,4,3,53,F4,F,F4,F4,240,1/2,0,0,4320,3840,120,End tied note,1,F4;G4;G4;G#/Ab4;G#/Ab4;A#/Bb4;C5;C#/Db5;C#/Db5;G4,F;G;G;G#/Ab;G#/Ab;A#/Bb;C;C#/Db;C#/Db;G,F4:1/2;G4:1/2;G4:1/2;G#/Ab4:1/2;G#/Ab4;1;A#/Bb4:1/2;C5:1;C#/Db5:1;C#/Db5:1;G4:1,F:1/2;G:1/2;G:1/2;G#/Ab:1/2;G#/Ab:1;A#/Bb:1/2;C:1;C#/Db:1;C#/Db:1;G:1,1/2;1/2;1/2;1/2;1;1/2;1;1;1;1,53;55;55;56;56;58;60;61;61;55,53:1/2;55:1/2;55:1/2;56:1/2;56:1;58:1/2;60:1;61:1;61:1;55:1,2;0;1;0;2;2;1;0;-6;-2
101,1,1,480,4,4,3,55,G4,G,G4,G4,240,1/2,0,0,4560,3840,120,Start tied note,1,G4;G4;G#/Ab4;G#/Ab4;A#/Bb4;C5;C#/Db5;C#/Db5;G4;F4,G;G;G#/Ab;G#/Ab;A#/Bb;C;C#/Db;C#/Db;G;F,G4:1/2;G4:1/2;G#/Ab4:1/2;G#/Ab4:1;A#/Bb4;1/2;C5:1;C#/Db5:1;C#/Db5:1;G4:1;F4:1,G:1/2;G:1/2;G#/Ab:1/2;G#/Ab:1;A#/Bb:1/2;C:1;C#/Db:1;C#/Db:1;G:1;F:1,1/2;1/2;1/2;1;1/2;1;1;1;1;1,55;55;56;56;58;60;61;61;55;53,55:1/2;55:1/2;56:1/2;56:1;58:1/2;60:1;61:1;61:1;55:1;53:1,0;1;0;2;2;1;0;-6;-2;-2
101,1,1,480,4,4,3,55,G4,G,G4,G4,240,1/2,0,0,4800,3840,120,End tied note,1,G4;G#/Ab4;G#/Ab4;A#/Bb4;C5;C#/Db5;C#/Db5;G4;F4;D#/Eb4,G;G#/Ab;G#/Ab;A#/Bb;C;C#/Db;C#/Db;G;F;D#/Eb,G4:1/2;G#/Ab4:1/2;G#/Ab4:1;A#/Bb4:1/2;C5;1;C#/Db5:1;C#/Db5:1;G4:1;F4:1;D#/Eb4:1/2,G:1/2;G#/Ab:1/2;G#/Ab:1;A#/Bb:1/2;C:1;C#/Db:1;C#/Db:1;G:1;F:1;D#/Eb:1/2,1/2;1/2;1;1/2;1;1;1;1;1;1/2,55;56;56;58;60;61;61;55;53;51,55:1/2;56:1/2;56:1;58:1/2;60:1;61:1;61:1;55:1;53:1;51:1/2,1;0;2;2;1;0;-6;-2;-2;9
