part_id,part_as_number,divisions,current_beats,current_beats_type,current_measure,voice,midi_number,note_name,duration,converted_duration,is_rest,grace,chord,starting_location_of_current_measure,starting_point_of_note_event,starting_location
P1,1,4,3,4,2,1,NA,Not applicable,12,12,Is rest value,Not applicable,Not applicable,12,0,12
P1,1,4,3,4,3,1,NA,Not applicable,12,12,Is rest value,Not applicable,Not applicable,24,0,24
P1,1,4,3,4,4,1,NA,Not applicable,12,12,Is rest value,Not applicable,Not applicable,36,0,36
P1,1,4,3,4,5,1,NA,Not applicable,4,4,Is rest value,Not applicable,Not applicable,48,0,48
P1,1,4,3,4,5,1,NA,Not applicable,4,4,Is rest value,Not applicable,Not applicable,48,4,52
P1,1,4,3,4,5,1,69,A5,4,4,Not applicable,Not applicable,Not applicable,48,8,56
P1,1,4,3,4,6,1,70,A#/Bb5,6,6,Not applicable,Not applicable,Not applicable,60,0,60
P1,1,4,3,4,6,1,69,A5,2,2,Not applicable,Not applicable,Not applicable,60,6,66
P1,1,4,3,4,6,1,67,G5,1,1,Not applicable,Not applicable,Not applicable,60,8,68
P1,1,4,3,4,6,1,70,A#/Bb5,1,1,Not applicable,Not applicable,Not applicable,60,9,69
P1,1,4,3,4,6,1,69,A5,2,2,Not applicable,Not applicable,Not applicable,60,10,70
P1,1,4,3,4,7,1,65,F5,4,4,Not applicable,Not applicable,Not applicable,72,0,72
P1,1,4,3,4,7,1,64,E5,2,2,Not applicable,Not applicable,Not applicable,72,4,76
P1,1,4,3,4,7,1,62,D5,2,2,Not applicable,Not applicable,Not applicable,72,6,78
P1,1,4,3,4,7,1,69,A5,4,4,Not applicable,Not applicable,Not applicable,72,8,80
P1,1,4,3,4,8,1,71,B5,6,6,Not applicable,Not applicable,Not applicable,84,0,84
P1,1,4,3,4,8,1,72,C6,1,1,Not applicable,Not applicable,Not applicable,84,6,90
P1,1,4,3,4,8,1,74,D6,1,1,Not applicable,Not applicable,Not applicable,84,7,91
P1,1,4,3,4,8,1,72,C6,1,1,Not applicable,Not applicable,Not applicable,84,8,92
P1,1,4,3,4,8,1,71,B5,1,1,Not applicable,Not applicable,Not applicable,84,9,93
