part_id,part_as_number,divisions,current_beats,current_beats_type,current_measure,voice,midi_number,note_name,duration,converted_duration,is_rest,grace,chord,starting_location_of_current_measure,starting_point_of_note_event,starting_location
P1,1,480,4,4,1,1,58,A#/Bb4,480,480,Not applicable,Not applicable,Not applicable,0,0,0
P1,1,480,4,4,1,1,56,G#/Ab4,960,960,Not applicable,Not applicable,Not applicable,0,480,480
P1,1,480,4,4,2,1,60,C5,720,720,Not applicable,Not applicable,Not applicable,1920,0,1920
P1,1,480,4,4,2,1,55,G4,240,240,Not applicable,Not applicable,Not applicable,1920,720,2640
P1,1,480,4,4,2,1,53,F4,480,480,Not applicable,Not applicable,Not applicable,1920,960,2880
P1,1,480,4,4,2,1,52,E4,480,480,Not applicable,Not applicable,Not applicable,1920,1440,3360
P1,1,480,4,4,3,1,NA,Not applicable,240,240,Is rest value,Not applicable,Not applicable,3840,0,3840
P1,1,480,4,4,3,1,53,F4,240,240,Not applicable,Not applicable,Not applicable,3840,240,4080
P1,1,480,4,4,3,1,53,F4,240,240,Not applicable,Not applicable,Not applicable,3840,480,4320
P1,1,480,4,4,3,1,55,G4,240,240,Not applicable,Not applicable,Not applicable,3840,720,4560
P1,1,480,4,4,3,1,55,G4,240,240,Not applicable,Not applicable,Not applicable,3840,960,4800
P1,1,480,4,4,3,1,56,G#/Ab4,240,240,Not applicable,Not applicable,Not applicable,3840,1200,5040
P1,1,480,4,4,3,1,56,G#/Ab4,480,480,Not applicable,Not applicable,Not applicable,3840,1440,5280
P1,1,480,4,4,4,1,NA,Not applicable,480,480,Is rest value,Not applicable,Not applicable,5760,0,5760
P1,1,480,4,4,4,1,NA,Not applicable,240,240,Is rest value,Not applicable,Not applicable,5760,480,6240
P1,1,480,4,4,4,1,58,A#/Bb4,240,240,Not applicable,Not applicable,Not applicable,5760,720,6480
P1,1,480,4,4,4,1,60,C5,480,480,Not applicable,Not applicable,Not applicable,5760,960,6720
P1,1,480,4,4,4,1,61,C#/Db5,480,480,Not applicable,Not applicable,Not applicable,5760,1440,7200
P1,1,480,4,4,5,1,61,C#/Db5,480,480,Not applicable,Not applicable,Not applicable,7680,0,7680
P1,1,480,4,4,5,1,55,G4,480,480,Not applicable,Not applicable,Not applicable,7680,480,8160
P1,1,480,4,4,5,1,53,F4,480,480,Not applicable,Not applicable,Not applicable,7680,960,8640
P1,1,480,4,4,5,1,51,D#/Eb4,240,240,Not applicable,Not applicable,Not applicable,7680,1440,9120
P1,1,480,4,4,5,1,60,C5,240,240,Not applicable,Not applicable,Not applicable,7680,1680,9360
P1,1,480,4,4,6,1,60,C5,720,720,Not applicable,Not applicable,Not applicable,9600,0,9600
P1,1,480,4,4,6,1,55,G4,240,240,Not applicable,Not applicable,Not applicable,9600,720,10320
P1,1,480,4,4,6,1,53,F4,480,480,Not applicable,Not applicable,Not applicable,9600,960,10560
P1,1,480,4,4,6,1,NA,Not applicable,240,240,Is rest value,Not applicable,Not applicable,9600,1440,11040
P1,1,480,4,4,6,1,52,E4,240,240,Not applicable,Not applicable,Not applicable,9600,1680,11280
P1,1,480,4,4,7,1,53,F4,240,240,Not applicable,Not applicable,Not applicable,11520,0,11520
P1,1,480,4,4,7,1,53,F4,240,240,Not applicable,Not applicable,Not applicable,11520,240,11760
P1,1,480,4,4,7,1,55,G4,240,240,Not applicable,Not applicable,Not applicable,11520,480,12000
P1,1,480,4,4,7,1,56,G#/Ab4,240,240,Not applicable,Not applicable,Not applicable,11520,720,12240
P1,1,480,4,4,7,1,58,A#/Bb4,960,960,Not applicable,Not applicable,Not applicable,11520,960,12480
P1,1,480,4,4,8,1,58,A#/Bb4,960,960,Not applicable,Not applicable,Not applicable,13440,0,13440
P1,1,480,4,4,8,1,55,G4,240,240,Not applicable,Not applicable,Not applicable,13440,960,14400
P1,1,480,4,4,8,1,53,F4,240,240,Not applicable,Not applicable,Not applicable,13440,1200,14640
P1,1,480,4,4,8,1,52,E4,480,480,Not applicable,Not applicable,Not applicable,13440,1440,14880
P1,1,480,4,4,9,1,52,E4,480,480,Not applicable,Not applicable,Not applicable,15360,0,15360
P1,1,480,4,4,9,1,52,E4,240,240,Not applicable,Not applicable,Not applicable,15360,480,15840
P1,1,480,4,4,9,1,53,F4,240,240,Not applicable,Not applicable,Not applicable,15360,720,16080
P1,1,480,4,4,9,1,55,G4,480,480,Not applicable,Not applicable,Not applicable,15360,960,16320
P1,1,480,4,4,9,1,NA,Not applicable,480,480,Is rest value,Not applicable,Not applicable,15360,1440,16800
P1,1,480,4,4,10,1,NA,Not applicable,480,480,Is rest value,Not applicable,Not applicable,17280,0,17280
P1,1,480,4,4,10,1,NA,Not applicable,240,240,Is rest value,Not applicable,Not applicable,17280,480,17760
P1,1,480,4,4,10,1,52,E4,240,240,Not applicable,Not applicable,Not applicable,17280,720,18000
P1,1,480,4,4,10,1,50,D4,720,720,Not applicable,Not applicable,Not applicable,17280,960,18240
P1,1,480,4,4,10,1,52,E4,240,240,Not applicable,Not applicable,Not applicable,17280,1680,18960
P1,1,480,4,4,11,1,53,F4,480,480,Not applicable,Not applicable,Not applicable,19200,0,19200
P1,1,480,4,4,11,1,51,D#/Eb4,240,240,Not applicable,Not applicable,Not applicable,19200,480,19680
