part_id,part_as_number,divisions,current_beats,current_beats_type,current_measure,voice,midi_number,note_name,duration,converted_duration,is_rest,grace,chord,starting_location_of_current_measure,starting_point_of_note_event,starting_location
P1,1,24,3,8,2,1,62,D5,12,12,Not applicable,Not applicable,Not applicable,36,0,36
P1,1,24,3,8,2,1,62,D5,12,12,Not applicable,Not applicable,Not applicable,36,12,48
P1,1,24,3,8,2,1,62,D5,12,12,Not applicable,Not applicable,Not applicable,36,24,60
P1,1,24,3,8,3,1,65,F5,9,9,Not applicable,Not applicable,Not applicable,72,0,72
P1,1,24,3,8,3,1,63,D#/Eb5,3,3,Not applicable,Not applicable,Not applicable,72,9,81
P1,1,24,3,8,3,1,60,C5,24,24,Not applicable,Not applicable,Not applicable,72,12,84
P1,1,24,3,8,4,1,60,C5,12,12,Not applicable,Not applicable,Not applicable,108,0,108
P1,1,24,3,8,4,1,60,C5,12,12,Not applicable,Not applicable,Not applicable,108,12,120
P1,1,24,3,8,4,1,60,C5,12,12,Not applicable,Not applicable,Not applicable,108,24,132
P1,1,24,3,8,5,1,63,D#/Eb5,9,9,Not applicable,Not applicable,Not applicable,144,0,144
P1,1,24,3,8,5,1,62,D5,3,3,Not applicable,Not applicable,Not applicable,144,9,153
P1,1,24,3,8,5,1,58,A#/Bb4,24,24,Not applicable,Not applicable,Not applicable,144,12,156
P1,1,24,3,8,6,1,62,D5,12,12,Not applicable,Not applicable,Not applicable,180,0,180
P1,1,24,3,8,6,1,60,C5,12,12,Not applicable,Not applicable,Not applicable,180,12,192
P1,1,24,3,8,6,1,58,A#/Bb4,12,12,Not applicable,Not applicable,Not applicable,180,24,204
P1,1,24,3,8,7,1,60,C5,Not applicable,0,Not applicable,Is grace note,Not applicable,216,0,216
P1,1,24,3,8,7,1,58,A#/Bb4,9,9,Not applicable,Not applicable,Not applicable,216,0,216
P1,1,24,3,8,7,1,57,A4,3,3,Not applicable,Not applicable,Not applicable,216,9,225
P1,1,24,3,8,7,1,57,A4,24,24,Not applicable,Not applicable,Not applicable,216,12,228
P1,1,24,3,8,8,1,60,C5,12,12,Not applicable,Not applicable,Not applicable,252,0,252
P1,1,24,3,8,8,1,58,A#/Bb4,12,12,Not applicable,Not applicable,Not applicable,252,12,264
P1,1,24,3,8,8,1,55,G4,12,12,Not applicable,Not applicable,Not applicable,252,24,276
P1,1,24,3,8,9,1,57,A4,Not applicable,0,Not applicable,Is grace note,Not applicable,288,0,288
P1,1,24,3,8,9,1,55,G4,9,9,Not applicable,Not applicable,Not applicable,288,0,288
