time_signature_numerator,divisions,starting_location,minimised_chord_all_parts,non_minimised_chord_all_parts,chord_midi_list,chord_midi_list_no_doubling,has_unison_doubling,has_octave_doubling,bass_note_midi_number,starting_location_as_decimal_position
3,4,56,"3, 7","36, 39, 43","26, 62, 65, 69","26, 62, 65, 69",0,0,26,5.666666666666667
3,4,60,"3, 7, 10","31, 34, 39","31, 62, 65, 70","31, 62, 65, 70",0,0,31,6
3,4,66,2,38,"31, 69","31, 69",0,0,31,6.5
3,4,68,"4, 7, 10","28, 31, 34","33, 61, 64, 67","33, 61, 64, 67",0,0,33,6.666666666666667
3,4,70,8,"20, 24","45, 65, 69","45, 65, 69",0,0,45,6.833333333333333
3,4,72,"2, 3, 11","23, 26, 27","38, 61, 64, 65","38, 61, 64, 65",0,0,38,7
3,4,76,11,23,"41, 64","41, 64",0,0,41,7.333333333333333
3,4,78,5,17,"45, 62","45, 62",0,0,45,7.5
3,4,80,"3, 7","15, 31","38, 53, 69","38, 53, 69",0,0,38,7.666666666666667
3,4,84,"3, 9","21, 39","32, 53, 71","32, 53, 71",0,0,32,8
3,4,90,4,40,"32, 72","32, 72",0,0,32,8.5
3,4,92,"3, 8","20, 39","33, 53, 72","33, 53, 72",0,0,33,8.666666666666668
3,4,94,10,34,"38, 72","38, 72",0,0,38,8.833333333333332
3,4,96,"1, 4","13, 28","40, 53, 68","40, 53, 68",0,0,40,9
3,4,100,10,22,"44, 66","44, 66",0,0,44,9.333333333333334
3,4,102,5,17,"47, 64","47, 64",0,0,47,9.5
3,4,104,"3, 7","19, 27","45, 64, 72","45, 64, 72",0,0,45,9.666666666666666
3,4,108,"3, 10","15, 22","50, 65, 72","50, 65, 72",0,0,50,10
3,4,110,6,18,"53, 71","53, 71",0,0,53,10.166666666666666
3,4,116,"4, 7","19, 28","43, 62, 71","43, 62, 71",0,0,43,10.666666666666666
3,4,118,"1, 8","20, 25","47, 67, 72","47, 67, 72",0,0,47,10.833333333333334
3,4,120,"5, 11","17, 23","48, 65, 71","48, 65, 71",0,0,48,11
3,4,122,5,"12, 17","52, 64, 69","52, 64, 69",0,1,52,11.166666666666666
3,4,128,"4, 6","18, 28","41, 59, 69, 69","41, 59, 69",1,0,41,11.666666666666666
3,4,132,"3, 6, 10","15, 18, 22","47, 62, 65, 69","47, 62, 65, 69",0,0,47,12
3,4,134,6,18,"50, 68","50, 68",0,0,50,12.166666666666666
3,4,140,"4, 7, 10","19, 22, 28","40, 59, 62, 68","40, 59, 62, 68",0,0,40,12.666666666666666
3,4,144,"2, 5, 11","14, 17, 23","45, 59, 62, 68","45, 59, 62, 68",0,0,45,13
3,4,146,9,"9, 12, 21","48, 57, 60, 69","48, 57, 60, 69",0,1,48,13.166666666666666
3,4,152,"3, 7, 9","21, 27, 31","38, 59, 65, 69","38, 59, 65, 69",0,0,38,13.666666666666666
3,4,156,"1, 5, 8","20, 25, 29","40, 60, 65, 69","40, 60, 65, 69",0,0,40,14
3,4,162,1,"1, 12","59, 60, 71","59, 60, 71",0,1,59,14.5
3,4,164,"7, 10","31, 34, 36","28, 59, 62, 64","28, 59, 62, 64",0,0,28,14.666666666666666
3,4,165,4,4,"65, 69","65, 69",0,0,65,14.75
3,4,166,"4, 8","4, 8","60, 64, 68","60, 64, 68",0,0,60,14.833333333333334
